Jahr,Gemeinde_name,Gesamt,Raub,Straßenraub,Körperverletzung,schwere Körperverletzung,Freiheitsberaubung,Diebstahl,Other
2021,Neukölln,40347,395,215,3748,1160,1619,17205,16220
2021,Treptow-Köpenick,24418,165,95,2271,518,1102,10565,9797
2021,Marzahn-Hellersdorf,22413,233,169,2672,570,1186,8283,9469
2021,Lichtenberg,26893,223,139,2857,655,1159,10750,11249
2021,Reinickendorf,24248,216,113,2472,606,1204,8371,11379
2022,Mitte,81178,823,502,7717,2346,3097,34999,32196
2022,Friedrichshain-Kreuzberg,54988,935,667,4931,1739,1558,24461,21364
2022,Pankow,40120,460,351,3463,999,1484,20342,13372
2022,Charlottenburg-Wilmersdorf,48858,416,251,3694,902,2058,21153,20635
2022,Spandau,26342,272,170,2882,678,1415,10550,10545
2022,Steglitz-Zehlendorf,23757,167,106,1935,349,1032,10858,9416
2022,Tempelhof-Schöneberg,39290,332,227,3567,753,1752,18227,14659
2022,Neukölln,42790,493,279,4233,1212,1749,19204,15899
2022,Treptow-Köpenick,26843,244,156,2574,636,1254,12100,10035
2022,Marzahn-Hellersdorf,26230,263,172,3075,652,1308,11440,9492
2022,Lichtenberg,29805,295,214,3064,733,1219,13968,10526
2022,Reinickendorf,27251,227,140,2751,680,1461,10088,12044
2023,Mitte,83611,884,521,8144,2303,3546,38043,30691
2023,Friedrichshain-Kreuzberg,55838,923,606,5502,1839,2110,25285,20179
2023,Pankow,39164,529,389,3840,990,1931,18502,13372
2023,Charlottenburg-Wilmersdorf,53630,464,278,4171,1010,2473,24774,20738
2023,Spandau,25564,247,144,2850,652,1405,10292,10118
2023,Steglitz-Zehlendorf,23719,213,129,2024,423,1081,11090,8888
2023,Tempelhof-Schöneberg,41776,328,198,3893,948,1914,19503,15190
2023,Neukölln,45313,508,294,4577,1388,1869,21267,15704
2023,Treptow-Köpenick,26099,207,118,2788,678,1380,12052,8994
2023,Marzahn-Hellersdorf,26649,315,177,3378,650,1510,11475,9321
2023,Lichtenberg,31563,362,259,3543,803,1546,15176,10133
2023,Reinickendorf,27344,311,173,2917,737,1536,11147,10696
